,Charity Number,Charity Name,Charity Address,Charity Postcode,Charity Constituency,Phone,Email,Website,Last Recorded Financial Year,Last Recorded Income,Last Recorded Expenditure,Charity Type,How the charity helps,What the charity does,Who the charity helps,Activities,Charity Objects,TH Postcode,Charity Size Band,Size Band,Primary Focus
313,1122590,LINCOLN AREA REGENERATION GROUP,"Poplar Union, 2 Cotall Street, LONDON",E14 6TL,Poplar and Limehouse,07960895201,info@larg-charity.org,Not available,31/03/2025,396748.0,526635.0,Charitable company,"Provides Human Resources, Provides Services, Provides Advocacy/advice/information, Other Charitable Activities","General Charitable Purposes, Education/training, The Prevention Or Relief Of Poverty, Arts/culture/heritage/science, Environment/conservation/heritage, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, The General Public/mankind","LARG is a resident-formed organization with focuses on bringing economic, environmental and social prosperity to communities within Tower Hamlets.  In order to achieve this we provide a number of  community led services. We work in patnership with Poplar HARCA & other community partners - Our mission is working to support and develop sustainable communities within deprived areas of Tower Hamlets","A)  THE PROMOTION FOR THE BENEFIT OF THE PUBLIC OF URBAN REGENERATION IN THE LINCOLN AREA OF BOW, EAST LONDON, AN AREA OF SOCIAL AND ECONOMIC DEPRIVATION, BY ALL OR ANY OF THE FOLLOWING MEANS: THE MAINTENANCE, IMPROVEMENT OR PROVISION OF PUBLIC AMENITIES; THE PROVISION OF RECREATIONAL FACILITIES FOR THE PUBLIC AT LARGE OR THOSE WHO BY REASON OF THEIR YOUTH, AGE, INFIRMITY OR DISABLEMENT, FINANCIAL HARDSHIP OR SOCIAL AND ECONOMIC CIRCUMSTANCES, HAVE NEED OF SUCH FACILITIES; SUCH OTHER MEANS AS MAY FROM TIME TO TIME BE DETERMINED SUBJECT TO THE PRIOR WRITTEN CONSENT OF THE CHARITY COMMISSIONERS FOR ENGLAND AND WALES.
B)  TO DEVELOP THE CAPACITY AND SKILLS OF THE MEMBERS OF THE SOCIALLY AND ECONOMICALLY DISADVANTAGED COMMUNITY OF THE LINCOLN AREA OF BOW, EAST LONDON, IN SUCH A WAY THAT THEY ARE BETTER ABLE TO IDENTIFY, AND HELP MEET, THEIR NEEDS AND TO PARTICIPATE MORE FULLY IN SOCIETY.",True,Medium,Dormant,Environment/conservation/heritage
314,1122613,EAST LONDON MOSQUE TRUST,"East London Mosque Trust, 82-92 Whitechapel Road, LONDON",E1 1JQ,Bethnal Green and Stepney,02076503000,info@eastlondonmosque.org.uk,www.eastlondonmosque.org.uk,31/03/2025,6566521.0,5094980.0,Charitable company,"Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information","General Charitable Purposes, Education/training, Religious Activities, Economic/community Development/employment, Human Rights/religious Or Racial Harmony/equality Or Diversity","Children/young People, Elderly/old People, Other Charities Or Voluntary Bodies, The General Public/mankind","The East London Mosque Trust provides a range of spiritual and community services that improve the quality of life of beneficiaries visiting or residing in London. Our activities are divided into the following: Religious Services, Education and Training, Social Welfare, Community Cohesion, and Economic Development.","1 ADVANCE THE ISLAMIC FAITH FOR THE BENEFIT OF THE PUBLIC BY MAINTAINING AND MANAGING A COMMUNITY CENTRE AND MOSQUE IN LONDON.
2 ADVANCE EDUCATION AND TO PROVIDE FACILITIES IN THE INTERESTS OF SOCIAL WELFARE FOR RECREATION AND LEISURE TIME OCCUPATION WITH THE OBJECT OF IMPROVING THE CONDITIONS OF LIFE FOR THE GENERAL PUBLIC AND IN PARTICULAR THE MUSLIM COMMUNITY.
3 PROMOTE SUCH OTHER CHARITABLE PURPOSES AS MAY FROM TIME TO TIME BE DETERMINED.",True,Large,Dormant,Human Rights/religious Or Racial Harmony/equality Or Diversity
315,1122872,SUPPORT FOR THE FAMILY FOUNDATION,"3 Columbine Avenue, Beckton, London",E6 5UA,West Ham and Beckton,07895047204,shirley@supportforthefamily.org,www.supportforthefamily.org,31/03/2025,1000.0,800.0,Other,"Makes Grants To Organisations, Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information, Sponsors Or Undertakes Research, Acts As An Umbrella Or Resource Body, Other Charitable Activities","General Charitable Purposes, Education/training, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Arts/culture/heritage/science, Amateur Sport, Environment/conservation/heritage, Economic/community Development/employment, Recreation, Other Charitable Purposes","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies, The General Public/mankind","We offer technical training, and lifelong mentorship to families and nonprofit organizations led by ethnic minorities especially black women and young people in the UK.
We also help nonprofit organizations in the UK maximize their impact in Africa.","1)  THE RELIEF OF FINANCIAL HARDSHIP IN BECKTON, LONDON AND WEST AFRICA IN PARTICULARLY BUT NOT EXCLUSIVELY IN GHANA.
2)  TO ADVANCE EDUCATION IN BECKTON, LONDON AND IN WEST AFRICA IN PARTICULARLY BUT NOT EXCLUSIVELY IN GHANA.
3)  THE PRESERVATION AND PROTECTION OF GOOD HEALTH BY THE PROVISION OF ADVICE AND SERVICES IN BECKTON, LONDON AND IN WEST AFRICA IN PARTICULARLY BUT NOT EXCLUSIVELY GHANA.",False,Micro,Dormant,Overseas Aid/famine Relief
316,1123142,SIMPLY A POUND LIMITED,"8 BEACONS CLOSE, LONDON",E6 5TT,West Ham and Beckton,07957201274,info@simplyapound.co.uk,www.simplyapound.co.uk,31/05/2019,64996.0,64954.0,Charitable company,"Makes Grants To Individuals, Makes Grants To Organisations, Provides Other Finance","Education/training, The Advancement Of Health Or Saving Of Lives, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Accommodation/housing",The General Public/mankind,"THE CHARITY'S OBJECTS(THE OBJECTS) ARE TO RELIEVE HARDSHIP OR DISTRESS THROUGHOUT THE WORLD, IN PARTICULAR BUT NOT EXCLUSIVELY, BY:I) PROVIDING FINANCIAL ASSISTANCE TO PERSONS IN NEED FOR THE PURPOSES OF PROVIDING HEALTHCARE, EDUCATION AND HOUSING; ANDII)PROVIDING FINANCIAL AND OTHER ASSISTANCE AT TIMES OF HUMAN MADE OR NATURAL DISASTER","THE CHARITY'S OBJECTS(THE OBJECTS) ARE TO RELIEVE NEED HARDSHIP OR DISTRESS THROUGHOUT THE WORLD, IN PARTICULAR BUT NOT EXCLUSIVELY, BY:
I) PROVIDING FINANCIAL ASSISTANCE TO PERSONS IN NEED FOR THE PURPOSES OF PROVIDING HEALTHCARE, EDUCATION AND HOUSING; AND
II)PROVIDING FINANCIAL AND OTHER ASSISTANCE AT TIMES OF HUMAN MADE OR NATURAL DISASTER",False,Small,Dormant,Accommodation/housing
317,1123353,SHAHJALAL CENTRE,"Shahjalal Centre, 25 Hale Street, Poplar, London",E14 0BF,Poplar and Limehouse,02030921752,poplarshahjalal@gmail.com,Not available,31/03/2025,75357.0,30750.0,Other,Provides Buildings/facilities/open Space,"Education/training, Religious Activities","Children/young People, People Of A Particular Ethnic Or Racial Origin","Daily Muslim Congregational Prayers. Weekday Supplementary Classes for children between 5-7pm. Social Events to Strengthen Community Relations.","A)     TO PROMOTE AND PROVIDE DAILY CONGREGATIONAL PRAYER FACILITY FOR THE SERVICE USERS.
B)     TO PROMOTE, ORGANISE AND TEACH SUPPLEMENTARY LANGUAGE CLASSES AND MAINSTREAM SUBJECTS TO THE RESIDENTS AND USERS OF THE CENTRE.
C)     PROVIDE ADVICE AND COUNSELLING FACILITIES FOR THE SERVICE USERS AND RESIDENTS LIVING IN THE NEIGHBOURHOODS ON ISSUES RANGING FROM MORAL DILEMMAS TO HEALTH ISSUES.
D)     ESTABLISH A CENTRE OF EDUCATION AN KNOWLEDGE.  WILL PROVIDE ACCESS TO TECHNOLOGICAL RESOURCES AND A LIBRARY OF KNOWLEDGE AND EDUCATION FOR ITS USERS AND RESIDENTS.
E)     PROVIDE AND PROMOTE SERVICES FOR THE FEMALE RESIDENTS OF THE LOCALITY.  THE CENTRE WILL CATER ON DIFFERENT ACTIVITIES AND FACILITIES FOR THE FEMALE USERS/COMMUNITY OF THE LOCALITY.
F)     TO UNITE THE COMMUNITY IN ORDER TO INSPIRE THEM TO DEVOTE THEMSELVES WHOLE-HEARTEDLY TO THE SERVICES OF THE COMMUNITY.
G)     ORGANISE SOCIAL EVENTS TO STRENGTHEN THE COMMUNITY RELATIONS.
H)     PROVIDE AND FOSTER GOODWILL AND FRIENDLY RELATION WITH THE LOCAL, OUTER COMMUNITY AND OTHER ORGANISATIONS.
I)     TO SUPPORT RELIGIOUS, EDUCATIONAL AND RECREATIONAL INTEREST OF THE PEOPLE LIVING IN THE AREA.
J)     PROMOTE EQUAL OPPORTUNITY AND HARMONIOUS RELATIONS IN THE SOCIETY AND TO OPPOSE ALL ATTEMPTS TO DIVIDE THE COMMUNITY IN ANY SORT OF DISORDER SUCH AS ANTI SOCIAL BEHAVIOUR.
K)     PROVIDE AN OPPORTUNITY FOR EXCHANGE OF CULTURE BETWEEN THE DIFFERENT FACTIONS OF RESIDENTS/USERS OF THE CENTRE.
L)     PROVIDE ACTIVITIES THROUGH OUT THE YEAR FOR GENERAL USERS/RESIDENTS (I.E. CONFERENCES, OPEN DAYS ETC) IN ORDER TO INTEGRATE THE COMMUNITY.
M)     ESTABLISH EMPLOYMENT OPPORTUNITIES FOR POSTS IN CONJUNCTION TO THE ACTIVITIES AND SERVICES PROVIDED.
N)     IT WILL FOLLOW THE CHARITY RULES AND REGULATION OF UK.
O)     ABIDE BY THE POLITICAL BY-LAWS OF UK",True,Small,Dormant,Religious Activities
318,1123395,TEMPORARYCONTEMPORARY STUDIOS,"UNIT 1 CAMBERWELL TRADING ESTATE, 117-119 DENMARK ROAD, LONDON",SE5 9LB,Vauxhall and Camberwell Green,02070958201,info@tempcontemp.co.uk,www.tempcontemp.co.uk,01/05/2024,0.0,0.0,Charitable company,Provides Buildings/facilities/open Space,"Education/training, Arts/culture/heritage/science",The General Public/mankind,"TO ADVANCE THE EDUCATION THROUGH THE PROMOTION OF THE ARTS, (OF ALL TYPES AND DESCRIPTIONS) FOR THE PUBLIC BENEFIT BY, BUT NOT EXCLUSIVELY BY, PROVIDING AFFORDABLE AND ACCESSIBLE STUDIO SPACE AND EXHIBITION OPPORTUNITIES FOR ARTISTS AND ARTISANS TO COME TOGETHER, SHARE IDEAS AND COMMUNICATE THEIR WORK TO THE GENERAL PUBLIC THROUGH A VARIETY OF MEDIUMS AND MEANS.","TO ADVANCE THE EDUCATION THROUGH THE PROMOTION OF THE ARTS, (OF ALL TYPES AND DESCRIPTIONS) FOR THE PUBLIC BENEFIT BY, BUT NOT EXCLUSIVELY BY, PROVIDING AFFORDABLE AND ACCESSIBLE STUDIO SPACE AND EXHIBITION OPPORTUNITIES FOR ARTISTS AND ARTISANS TO COME TOGETHER, SHARE IDEAS AND COMMUNICATE THEIR WORK TO THE GENERAL PUBLIC THROUGH A
VARIETY OF MEDIUMS AND MEANS.",False,,Dormant,Arts/culture/heritage/science
319,1123480,CHHATAK ISLAMIC SOCIETY,"Flat 14, Oxenholme, Harrington Square, LONDON",NW1 2JN,Holborn and St Pancras,07984491087,lukmanahmed@live.co.uk,Not available,30/09/2024,20689.0,15580.0,Other,"Makes Grants To Individuals, Makes Grants To Organisations, Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Sponsors Or Undertakes Research, Other Charitable Activities","Education/training, The Advancement Of Health Or Saving Of Lives, The Prevention Or Relief Of Poverty, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, The General Public/mankind","We arrange family events, cultural events in the holiday time to build healthy relation and empower our young in Tower Hamlets. We also operate in the impoverished area of Chhatak, Sylhet in Bangladesh. We are helping to run schools and give academic stipend to the disadvantage pupils. We also provide educational materials and facilities to improve the learning environment in the schools.","1.  TO ADVANCE RELIGIOUS EDUCATION IN ACCORDANCE WITH THE DOCTRINES AND PRACTICES OF THE ISLAMIC FAITH.
2.  TO RELIEVE POVERTY AND HARDSHIP AMONGST DESTITUTE PEOPLE LIVING IN BANGLADESH.
3.  THE RELIEF OF FINANCIAL NEED AND SUFFERING AMONG VICTIMS OF NATURAL OR OTHER KINDS OF DISASTER IN THE FORM OF MONEY (OR OTHER MEANS DEEMED SUITABLE) FOR PERSONS, BODIES, ORGANISATIONS AND/OR COUNTRIES AFFECTED.""",False,Small,Dormant,The Advancement Of Health Or Saving Of Lives
320,1123972,HERMITAGE RIVER PROJECTS LIMITED,"HERMITAGE MOORINGS, 16 WAPPING HIGH STREET, LONDON",E1W 1NG,Poplar and Limehouse,07946749540,info@hrprojects.org,www.hrprojects.org,28/02/2025,23889.0,28608.0,Charitable company,"Makes Grants To Individuals, Makes Grants To Organisations, Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Sponsors Or Undertakes Research","General Charitable Purposes, Education/training, Arts/culture/heritage/science, Environment/conservation/heritage","Children/young People, Other Charities Or Voluntary Bodies, The General Public/mankind","Hermitage River Projects aims to promote knowledge and understanding of the Thames, its history, its ecology and the communities using it; to undertake educational initiatives that increase understanding of navigational and boat handling skills; to undertake cultural initiatives that promote and celebrate river heritage; and to encourage the use, preservation and restoration of historic vessels.","THE ADVANCEMENT OF EDUCATION IN THE HISTORY OF NAVIGATION ON THE RIVER THAMES BY THE PRESERVATION, MAINTENANCE AND OPERATION OF ALL TYPES OF CRAFT ASSOCIATED WITH THE RIVER, AND OR RELATED ARTEFACTS AND RECORDS OF ANY KIND AND IN ANY FORMAT, FOR THE BENEFIT OF THE PUBLIC BY EXHIBITION IN A MUSEUM OR OTHERWISE AND THROUGH PUBLICATION, LECTURES AND EVENTS. 

(2)	TO PROVIDE PEOPLE IN GREATER LONDON AND SOUTH EASTERN COUNTIES WITH FACILITIES FOR RECREATION INCLUDING BOATING ACTIVITIES AND OTHER LEISURE TIME OCCUPATIONS IN THE INTERESTS OF SOCIAL WELFARE WITH THE OBJECT OF IMPROVING THE CONDITIONS OF LIFE ESPECIALLY OF YOUNG PEOPLE AND PEOPLE WITH DISABILITY AND FOR THE ADVANCEMENT OF EDUCATION, INCLUDING ENVIRONMENTAL EDUCATION RELATING TO THE RIVER THAMES, IN PARTICULAR BY THE HOLDINGS OF MEETINGS, LECTURES AND CLASSES.",True,Small,Dormant,Environment/conservation/heritage
321,1124166,IQRA FOUNDATION UK,"64 THE FAIRWAY, LONDON",N14 4NU,Southgate and Wood Green,07961426270,iqra.foundation.uk@hotmail.co.uk,Not available,30/06/2024,99225.0,63141.0,Other,"Makes Grants To Individuals, Makes Grants To Organisations, Provides Human Resources, Provides Buildings/facilities/open Space","General Charitable Purposes, Disability, The Prevention Or Relief Of Poverty, Accommodation/housing, Arts/culture/heritage/science","Children/young People, Elderly/old People","IQRA FOUNDATION UK CARRIED OUT THE FOLLOWING ACTIVITIES:FUNDED GET TOGETHER SESSIONS WITH THE AIM OF ENGAGING THE ELDERLY OF THE COMMUNITY.SPONSORED ENGLISH LANGUAGE, COMPUTER AND BASIC SKILLS COURSES IN SYLHET, BANGLADESH.","(i) To advance of Islamic education among members of Islamic faith communities within the UK and in Bangladesh by the provision of establishing institution and financial support mainly and including ""Jamia Madaniya Anugua Muhammad Pur""

(ii) The provision in the interest of social welfare of facilities for recreation or other leisure time occupation among members of Islamic Faith communities within the UK & Bangladesh including the students of ""Jamiah Madaniyah Angura"" & their affiliated institution 

(iii) The relief of poverty hardship and distress and the preservation and protection of good health both in UK and Bangladesh especially the serving community of eight villages of "" Jamiah Madaniyah Angura Muhammad Pur"" and their surrounding by such exclusively charitable means as the executive committee shall from time - to -time determine",False,Small,Dormant,Accommodation/housing
322,1124272,SHREE SHREE LOKNATH BHAKTA PORISHAD (UK),"77 CHESTERFORD ROAD, LONDON",E12 6LD,East Ham,07877453697,admin@babalokenath.co.uk,www.babalokenath.co.uk,31/03/2024,5541.0,6122.0,Other,"Provides Services, Other Charitable Activities","Education/training, Overseas Aid/famine Relief, Arts/culture/heritage/science, Economic/community Development/employment, Human Rights/religious Or Racial Harmony/equality Or Diversity, Other Charitable Purposes","Children/young People, The General Public/mankind","To motivate and encourage children, younger's and Adults (men/women) to extend their knowledge, experience and imagination so as to lay the foundation for learning and help them to reach their full potential. instil awareness of and respect for moral values, prepare everybody to become an informed and responsible member of the society, to assist them to develop their talents, achieve goals.",TO PROMOTE HINDU RELIGION AMONG THE HINDU COMMUNITY IN THE GREATER LONDON AREA.,False,Micro,Dormant,Overseas Aid/famine Relief
323,1124449,ORPHAN WELFARE TRUST,"Flat 31, 32 Truman Walk, Bromley by Bow, London",E3 3FE,Poplar and Limehouse,03330119555,INFO@ORPHANWELFARETRUST.ORG,http://www.orphanwelfaretrust.org,30/06/2024,28249.0,44654.0,Other,Other Charitable Activities,"Education/training, The Prevention Or Relief Of Poverty","Children/young People, People With Disabilities","THE ADVANCEMENT OF EDUCATION AND THE PRESERVATION AND PROTECTION OF HEALTH AND THE RELIEF OF FINANCIAL HARDSHIP AMONG POOR AND ORPHANED CHILDREN IN BANGLADESH, PARTICULARLY BUT NOT EXCLUSIVELY BY THE PROVISION OF FACILITIES FOR THEIR CARE AND EDUCATION","THE ADVANCEMENT OF EDUCATION AND THE PRESERVATION AND PROTECTION OF HEALTH AND THE RELIEF OF FINANCIAL HARDSHIP AMONG POOR AND ORPHANED CHILDREN IN BANGLADESH, PARTICULARLY BUT NOT EXCLUSIVELY BY THE PROVISION OF FACILITIES FOR THEIR CARE AND EDUCATION.",True,Small,Dormant,The Prevention Or Relief Of Poverty
324,1124554,COUNCIL OF MOSQUES - TOWER HAMLETS,"CoM-TH, 3rd Floor, 46 Whitechapel Road, London Muslim Centre, London",E1 1JX,Bethnal Green and Stepney,02076503040,info@councilofmosques.com,www.councilofmosques.com,31/03/2025,149716.0,99715.0,Other,Acts As An Umbrella Or Resource Body,General Charitable Purposes,Other Charities Or Voluntary Bodies,"The Council of Mosques works primarily as a conduit of communication between the Muslim community in Tower Hamlets and the Local Authority is central.Currently, the Council of Mosques offers three main areas of service provision: 1.	Capacity building and training programmes for its members and affiliates2.	Consultation and advocacy on local issues3.	Community cohesion activities","THE PROMOTION OF RELIGIOUS AND RACIAL HARMONY FOR THE BENEFIT OF THE PUBLIC BY:
A) EDUCATING THE PUBLIC IN DIFFERENT RELIGIOUS BELIEFS INCLUDING AN AWARENESS OF THEIR DISTINCTIVE FEATURES AND THEIR COMMON GROUND TO PROMOTE GOOD RELATIONS BETWEEN PERSONS OF DIFFERENT FAITHS AND OF DIFFERENT RACIAL GROUPS;
B) PROMOTING KNOWLEDGE AND MUTUAL UNDERSTANDING BETWEEN DIFFERENT RELIGIOUS AND RACIAL GROUPS;
C) PROVIDING A CLOSER NETWORK AND CO-OPERATION BETWEEN THE MOSQUES AND OTHER ISLAMIC ORGANISATIONS WITH SERVICE PROVIDERS AND OTHER FAITH COMMUNITIES;
D) PROVIDING ADVICE ON COMMUNITY ISSUES;
E) BY SUCH OTHER CHARITABLE MEANS AS THE TRUSTEES DEEM FIT.
TO PROMOTE SOCIAL INCLUSION FOR THE PUBLIC BENEFIT BY WORKING WITH INDIVIDUALS IN THE LONDON BOROUGH OF TOWER HAMLETS AND SURROUNDING AREAS WHO ARE SOCIALLY OR ECONOMICALLY DISADVANTAGED ON THE GROUNDS OF THEIR RELIGION, ETHNIC ORIGIN OR CREED (IN PARTICULAR, MEMBERS OF THE MUSLIM COMMUNITY) TO RELIEVE THE NEEDS OF SUCH INDIVIDUALS AND ASSIST THEM TO INTEGRATE INTO BRITISH SOCIETY, IN PARTICULAR BY:
A) WORKING WITH INDIVIDUALS TO ADDRESS ISSUES OF INEQUALITY AND ASSIST THEM TO INTEGRATE INTO BRITISH SOCIETY;
B) WORKING WITH SERVICE PROVIDERS TO ENABLE THEM TO BETTER UNDERSTAND THE NEEDS OF THE MUSLIM COMMUNITY IN ORDER THAT THEY CAN ADAPT SERVICE PROVISION TO BETTER MEET THE NEEDS OF THAT COMMUNITY;
C) UNDERTAKING RESEARCH WITH INDIVIDUALS, ORGANISATIONS AND DIFFERENT COMMUNITIES ON ISSUES PERTINENT TO THE MUSLIM COMMUNITY;
D) RAISING THE CONCERNS OF THE MUSLIM COMMUNITY TO RELEVANT ORGANISATIONS OR AUTHORITIES AS DEEMED APPROPRIATE BY THE TRUSTEES;
E) BUILDING THE CAPACITY OF MOSQUES AND ISLAMIC ORGANISATIONS THROUGH THE PROVISION OF GRANTS, ADVICE & GUIDANCE, TRAINING AND OTHER MEANS SO THAT THEY ARE BETTER EQUIPPED TO DELIVER PROJECTS AND SERVICES THAT ADDRESS ISSUES OF INEQUALITY;
F) BY SUCH OTHER CHARITABLE MEANS AS THE TRUSTEES DEEM FIT.",True,Medium,Dormant,General Charitable Purposes
325,1124839,POLLYANNA TRAINING THEATRE,"Raine House, 16 Raine Street, LONDON",E1W 3RL,Poplar and Limehouse,07949792570,mail@pollyannatheatre.org,www.pollyannatheatre.org,31/03/2025,102726.0,99673.0,Other,Provides Buildings/facilities/open Space,"Education/training, Arts/culture/heritage/science","Children/young People, People With Disabilities",Provision of tuition in drama and performing arts for children and young people,TO ADVANCE THE EDUCATION AND DEVELOPMENT OF CHILDREN AND YOUNG PEOPLE UP TO THE AGE OF EIGHTEEN BY PROVIDING AND ASSISTING IN THE PROVISION OF TUITION IN DRAMA AND PERFORMING ARTS,True,Medium,Dormant,Arts/culture/heritage/science
326,1124917,TEVIOT BRITISH BANGLADESHI ASSOCIATION,"181 Teviot Street, LONDON",E14 6PY,Poplar and Limehouse,07483457315,tbba1818@hotmail.com,Not available,31/12/2024,61619.0,49051.0,Other,"Provides Human Resources, Provides Advocacy/advice/information","Education/training, The Prevention Or Relief Of Poverty, Arts/culture/heritage/science, Amateur Sport, Economic/community Development/employment","Children/young People, Elderly/old People, People Of A Particular Ethnic Or Racial Origin","1. To promote Islamic education to the community with the provision of mother tongue
and Arabic Classes for the age between 06 to 16.
2. To the regular activities, the centre provides advisory services to the local community.
3. To run mosque for daily prayers.","FOR THE BENEFIT OF THE INHABITANTS LIVING IN THE LONDON BOROUGH OF TOWER HAMLETS AND IN PARTICULAR MEMBERS OF THE BANGLADESHI COMMUNITY WHO ARE IN HARDSHIP BY
1 RELIEVING POVERTY, SICKNESS AND DISTRESS THROUGH THE PROVISION OF ADVICE AND INFORMATION TO THE SAID INHABITANTS IN NEED OF SUCH ADVICE THAT MAY INCLUDE WELFARE BENEFITS, HEALTH AND EMPLOYMENT AND
2 ADVANCING EDUCATION IN PARTICULAR THE PROVISION OF LANGUAGE AND OTHER SUBJECT CLASSES
3 THE PROVISION OF FACILITIES FOR RECREATION AND LEISURE TIME OCCUPATION IN THE INTEREST OF SOCIAL WELFARE WITH THE OBJECT OF IMPROVING THE CONDITIONS OF LIFE OF THE SAID INHABITANTS HAVING NEED OF FACILITIES BY REASON OF THEIR YOUTH, AGE, INFIRMITY, POVERTY OR SOCIAL AND ECONOMIC CIRCUMSTANCES",True,Small,Dormant,Amateur Sport
327,1125016,RHYTHMS OF LIFE INTERNATIONAL,"7 Bellsyard, Strand, London",WC2A 2JR,Cities of London and Westminster,02074082220,info@rhythmsoflife.org.uk,WWW.RHYTHMSOFLIFE.ORG.UK,19/07/2024,44454.0,49970.0,Other,"Provides Human Resources, Provides Services, Provides Advocacy/advice/information","General Charitable Purposes, Education/training, The Prevention Or Relief Of Poverty, Accommodation/housing","Elderly/old People, People With Disabilities, Other Defined Groups, The General Public/mankind","We provide food, clothing, toiletries and support to London's homeless. Our volunteers serve meals 365 days a year as well as handing out clean clothes, sleeping bags and personal hygiene products. We also provide a range of classes for the homeless, including IT, life skills, and English as a foreign language, to people to rebuild their confidence and find employment.","THE RELIEF AND ASSISTANCE OF PEOPLE IN ANY PART OF THE WORLD WHO ARE THE VICTIMS OF WAR OR NATURAL DISASTER, TROUBLE, OR CATASTROPHE IN PARTICULAR BY THE SUPPLY OF MEDICAL AID TO SUCH PERSONS.
TO RELIEVE FINANCIAL HARDSHIP AND SICKNESS, TO PROMOTE AND PROTECT GOOD HEALTH AND TO ADVANCE EDUCATION IN PARTICULAR BUT NOT EXCLUSIVELY BY PROVIDING SHELTER, FOOD, WAR FACILITIES AND EDUCATION.",False,Small,Dormant,Accommodation/housing
328,1125118,MADINATUL ULOOM WELFARE TRUST,"Flat 1, Bicknell House, Ellen Street, London",E1 1NA,Bethnal Green and Stepney,07949872154,shamsul1977@hotmail.co.uk,Not available,03/01/2025,5890.0,4500.0,Other,"Makes Grants To Individuals, Makes Grants To Organisations, Provides Buildings/facilities/open Space","General Charitable Purposes, Education/training, The Prevention Or Relief Of Poverty, Religious Activities",Elderly/old People,"Run adult religious education classes for the local communitiesRaise funds for the good causes of the trut -","TO PROMOTE SUCH CHARITABLE PURPOSES AS SHALL BE RECOGNISED AS CHARITABLE UNDER THE LAWS OF ENGLAND AND WALES FOR THE BENEFIT OF THE PUBLIC WHO ARE OF BANGLADESHI ORIGIN AND LIVING IN ENGLAND OR BANGLADESH IN PARTICULAR FOR THE FOLLOWING PURPOSE;
THE ADVANCEMENT OF EDUCATION
THE ADVANCEMENT OF ISLAMIC FAITH.",True,Micro,Dormant,Religious Activities
329,1125340,MYHEALTHNET LIMITED,"8 LARCH ROAD, DARTFORD",DA1 2LE,Dartford,08454301904,info@myhealthnet.org.uk,www.myhealthnet.co.uk,30/04/2024,3854.0,3894.0,Charitable company,"Provides Other Finance, Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information, Sponsors Or Undertakes Research, Acts As An Umbrella Or Resource Body, Other Charitable Activities","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Economic/community Development/employment, Other Charitable Purposes","Children/young People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies, Other Defined Groups, The General Public/mankind","Young People Sexual Health ServiceTraining & Education ProgrammesService Summary:Sexual/Reproductive/Assualt/Psychosexual adviceTesting/Partner notificationCounsellingWorkshops & SeminarHealth promotionCondoms distributionSupport & supervisionVolunteeringPartnershipContact:secretary@myhealthnet.org.ukT: 08454301904Counsellor: 07947557567E: auntclara@myhealthnet.org.uk","TO PROMOTE AND PROTECT GOOD HEALTH, IN PARTICULAR BUT NOT EXCLUSIVELY RELATING TO SEXUAL AND REPRODUCTIVE HEALTH EDUCATION.",False,Micro,Dormant,Other Charitable Purposes
