,LSOA code (2021),LSOA name (2021),Local Authority District code (2024),Local Authority District name (2024),Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Score (rate),Income Rank (where 1 is most deprived),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Score (rate),Employment Rank (where 1 is most deprived),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Score","Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Score,Health Deprivation and Disability Rank (where 1 is most deprived),Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Score,Crime Rank (where 1 is most deprived),Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Score,Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Score,Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs),Income Deprivation Affecting Children Index (IDACI) Score (rate),Income Deprivation Affecting Children Index (IDACI) Rank (where 1 is most deprived),Income Deprivation Affecting Children Index (IDACI) Decile (where 1 is most deprived 10% of LSOAs),Income Deprivation Affecting Older People (IDAOPI) Score (rate),Income Deprivation Affecting Older People (IDAOPI) Rank (where 1 is most deprived),Income Deprivation Affecting Older People (IDAOPI) Decile (where 1 is most deprived 10% of LSOAs),Children and Young People Sub-domain Score,Children and Young People Sub-domain Rank (where 1 is most deprived),Children and Young People Sub-domain Decile (where 1 is most deprived 10% of LSO,Adult Skills Sub-domain Score,Adult Skills Sub-domain Rank (where 1 is most deprived),Adult Skills Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Geographical Barriers Sub-domain Score,Geographical Barriers Sub-domain Rank (where 1 is most deprived),Geographical Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Wider Barriers Sub-domain Score,Wider Barriers Sub-domain Rank (where 1 is most deprived),Wider Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Indoors Sub-domain Score,Indoors Sub-domain Rank (where 1 is most deprived),Indoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Outdoors Sub-domain Score,Outdoors Sub-domain Rank (where 1 is most deprived),Outdoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Total population: mid 2022,Dependent Children aged 0-15: mid 2022,Older population aged 60 and over: mid 2022,Working age population 18-66 (for use with Employment Deprivation Domain): mid 2022
33658,E01035665,Tower Hamlets 008F,E09000030,Tower Hamlets,21.171,13786,5,0.206,15255,5,0.057,28900,9,7.671,25171,8,1.035,4333,2,0.831,5580,2,23.442,12655,4,37.194,6004,2,0.551,6240,2,0.56,1584,1,-0.117,18173,6,0.108,31803,10,9.211,32795,10,3.805,4141,2,-0.229,20617,7,2.425,42,1,1509,222,25,1257
33659,E01035666,Tower Hamlets 008G,E09000030,Tower Hamlets,32.29,7261,3,0.477,3063,1,0.164,9763,3,18.748,15252,5,0.34,11665,4,0.385,11118,4,33.167,4740,2,25.972,11545,4,0.837,598,1,0.805,165,1,-0.246,20114,6,0.278,10703,4,8.05,33030,10,5.542,1512,1,-0.655,28881,9,1.777,694,1,1957,371,106,1498
33660,E01035667,Tower Hamlets 008H,E09000030,Tower Hamlets,34.871,6218,2,0.51,2306,1,0.191,7394,3,21.724,13210,4,0.172,13914,5,0.411,10763,4,32.251,5251,2,27.673,10551,4,0.735,1712,1,0.982,14,1,-0.183,19203,6,0.302,8561,3,8.467,32934,10,5.379,1680,1,-0.414,24550,8,1.701,847,1,2001,491,84,1423
33661,E01035668,Tower Hamlets 009E,E09000030,Tower Hamlets,33.397,6789,3,0.372,6349,2,0.165,9699,3,12.658,20173,6,0.884,5627,2,1.246,2393,1,30.085,6530,2,33.281,7697,3,0.772,1167,1,0.894,84,1,-0.058,17268,6,0.191,21524,7,3.569,33633,10,5.073,2067,1,-0.401,24278,8,2.224,145,1,2054,234,141,1702
33662,E01035669,Tower Hamlets 009F,E09000030,Tower Hamlets,30.287,8139,3,0.338,7721,3,0.112,16512,5,9.172,23542,7,0.735,7087,3,1.406,1606,1,34.592,4071,2,33.402,7639,3,0.938,180,1,0.886,92,1,-0.162,18875,6,0.155,26829,8,2.672,33709,10,5.774,1250,1,-0.549,27215,9,2.754,2,1,1370,146,34,1166
33663,E01035670,Tower Hamlets 010G,E09000030,Tower Hamlets,25.999,10488,4,0.284,10384,4,0.091,20602,7,27.166,10289,4,-0.035,16928,6,0.741,6539,2,36.527,3278,1,38.044,5661,2,0.781,1059,1,0.681,558,1,-0.186,19249,6,0.349,5154,2,5.773,33427,10,6.062,1000,1,0.044,14845,5,1.918,461,1,4759,527,299,3904
33664,E01035671,Tower Hamlets 012F,E09000030,Tower Hamlets,20.845,14041,5,0.308,9127,3,0.085,21946,7,7.938,24859,8,0.004,16349,5,0.261,12899,4,35.715,3588,2,26.783,11069,4,0.556,6057,2,0.962,46,1,-0.565,24847,8,0.182,22747,7,9.493,32749,10,5.893,1137,1,-0.754,30166,9,1.914,472,1,2267,427,32,1779
33665,E01035672,Tower Hamlets 012G,E09000030,Tower Hamlets,42.87,3864,2,0.632,568,1,0.207,6218,2,21.745,13195,4,0.037,15894,5,0.555,8834,3,42.63,1460,1,24.02,12662,4,0.935,185,1,0.77,245,1,-0.543,24564,8,0.327,6618,2,9.101,32815,10,6.946,422,1,-0.529,26856,8,1.493,1339,1,3019,773,189,2052
33666,E01035673,Tower Hamlets 012H,E09000030,Tower Hamlets,29.925,8317,3,0.404,5179,2,0.149,11456,4,11.796,20984,7,0.598,8545,3,0.588,8392,3,37.089,3088,1,21.044,14567,5,0.751,1454,1,0.853,118,1,-0.463,23448,7,0.222,17110,6,8.77,32875,10,6.117,954,1,-0.943,31928,10,1.473,1400,1,1109,170,46,892
33667,E01035674,Tower Hamlets 014F,E09000030,Tower Hamlets,23.523,12106,4,0.346,7354,3,0.127,14271,5,9.349,23364,7,0.509,9551,3,0.171,14253,5,25.95,9928,3,25.585,11773,4,0.544,6471,2,0.868,107,1,-0.459,23385,7,0.192,21329,7,6.953,33244,10,4.335,3194,1,-0.324,22648,7,1.394,1656,1,1398,280,67,1048
33668,E01035675,Tower Hamlets 014G,E09000030,Tower Hamlets,31.98,7380,3,0.412,4930,2,0.127,14235,5,17.039,16520,5,0.551,9054,3,0.566,8682,3,40.807,1903,1,35.16,6842,3,0.769,1212,1,0.691,510,1,-0.399,22528,7,0.274,11129,4,5.749,33430,10,6.699,552,1,-0.261,21318,7,2.211,160,1,1865,309,140,1439
33669,E01035676,Tower Hamlets 014H,E09000030,Tower Hamlets,40.375,4486,2,0.524,2015,1,0.215,5692,2,24.107,11851,4,0.425,10593,4,0.414,10727,4,40.473,1995,1,33.671,7509,3,0.725,1871,1,0.503,2430,1,-0.422,22865,7,0.34,5726,2,7.324,33174,10,6.637,589,1,-0.37,23633,8,2.222,148,1,1604,383,209,1021
33670,E01035677,Tower Hamlets 014I,E09000030,Tower Hamlets,34.107,6502,2,0.499,2556,1,0.169,9310,3,14.574,18476,6,0.932,5185,2,0.447,10278,4,27.332,8642,3,26.124,11469,4,0.795,925,1,0.984,10,1,-0.676,26244,8,0.267,11899,4,8.495,32927,10,4.562,2813,1,-0.634,28627,9,1.779,692,1,1581,305,52,1204
33671,E01035678,Tower Hamlets 018E,E09000030,Tower Hamlets,26.228,10371,4,0.416,4810,2,0.143,12098,4,13.83,19131,6,0.053,15643,5,0.442,10343,4,25.887,9988,3,26.132,11466,4,0.708,2185,1,0.597,1156,1,-0.246,20123,6,0.225,16643,5,9.231,32790,10,4.289,3264,1,-0.344,23086,7,1.468,1413,1,2002,422,149,1449
33672,E01035679,Tower Hamlets 018F,E09000030,Tower Hamlets,26.218,10379,4,0.384,5883,2,0.117,15774,5,13.174,19706,6,0.324,11890,4,0.841,5496,2,26.42,9512,3,27.669,10552,4,0.76,1329,1,0.358,5973,2,-0.224,19820,6,0.216,17915,6,7.785,33076,10,4.414,3066,1,-0.417,24606,8,1.707,841,1,1629,285,155,1223
33673,E01035680,Tower Hamlets 019E,E09000030,Tower Hamlets,22.447,12842,4,0.34,7612,3,0.106,17674,6,6.445,26572,8,0.719,7243,3,0.077,15657,5,28.518,7702,3,19.665,15546,5,0.606,4535,2,0.974,27,1,-0.485,23749,8,0.153,27161,9,6.266,33354,10,4.791,2457,1,-0.924,31796,10,1.341,1829,1,1846,353,55,1426
33674,E01035681,Tower Hamlets 019F,E09000030,Tower Hamlets,42.033,4054,2,0.554,1534,1,0.244,3989,2,25.115,11303,4,0.7,7430,3,0.336,11788,4,34.732,4011,2,26.173,11440,4,0.752,1432,1,0.794,189,1,-0.462,23434,7,0.35,5074,2,5.538,33455,10,5.782,1242,1,-0.873,31378,10,1.915,470,1,2070,449,245,1421
33675,E01035682,Tower Hamlets 019G,E09000030,Tower Hamlets,41.957,4078,2,0.515,2186,1,0.18,8300,3,16.688,16766,5,1.353,2338,1,0.703,6984,3,39.535,2259,1,32.703,7991,3,0.866,417,1,0.865,111,1,-0.46,23400,7,0.275,11052,4,5.431,33464,10,6.482,667,1,-0.311,22379,7,2.034,327,1,1545,377,43,1096
33676,E01035683,Tower Hamlets 019H,E09000030,Tower Hamlets,39.395,4740,2,0.449,3798,2,0.209,6051,2,39.639,5585,2,0.475,9962,3,0.06,15902,5,47.3,618,1,22.381,13656,5,0.52,7307,3,0.89,89,1,-0.27,20500,7,0.437,1337,1,6.774,33278,10,7.962,126,1,-0.322,22602,7,1.084,2911,1,1861,450,166,1253
33677,E01035684,Tower Hamlets 020E,E09000030,Tower Hamlets,39.121,4819,2,0.523,2047,1,0.198,6856,3,22.941,12508,4,0.827,6172,2,0.523,9203,3,37.34,2987,1,21.631,14152,5,0.77,1192,1,0.752,294,1,0.014,16252,5,0.296,9088,3,9.312,32775,10,6.148,928,1,-0.573,27633,9,1.315,1916,1,1716,422,127,1182
33678,E01035685,Tower Hamlets 020F,E09000030,Tower Hamlets,50.311,2316,1,0.662,357,1,0.253,3598,2,40.132,5449,2,0.536,9240,3,0.62,7994,3,39.111,2386,1,24.59,12330,4,0.848,527,1,0.616,989,1,-0.064,17369,6,0.427,1562,1,8.209,32989,10,6.389,725,1,-0.175,19463,6,1.07,2984,1,1560,457,180,943
33679,E01035686,Tower Hamlets 021G,E09000030,Tower Hamlets,32.731,7069,3,0.421,4654,2,0.121,15094,5,15.636,17613,6,0.329,11821,4,0.792,5977,2,39.48,2278,1,44.652,3478,2,0.901,276,1,0.981,16,1,-0.251,20188,6,0.246,14113,5,1.739,33751,10,6.486,663,1,0.213,11784,4,2.227,142,1,1892,252,49,1579
33680,E01035687,Tower Hamlets 021H,E09000030,Tower Hamlets,21.918,13212,4,0.329,8164,3,0.072,24945,8,9.248,23457,7,-0.086,17681,6,0.77,6225,2,28.819,7441,3,36.746,6171,2,0.896,289,1,0.976,21,1,-0.092,17818,6,0.144,28217,9,1.144,33755,10,4.872,2349,1,-0.29,21921,7,2.669,7,1,1901,257,41,1576
33681,E01035688,Tower Hamlets 021I,E09000030,Tower Hamlets,12.258,22298,7,0.182,17067,6,0.043,31826,10,8.687,24051,8,-0.387,22155,7,-0.15,19004,6,20.755,16013,5,35.844,6545,2,0.83,643,1,0.551,1707,1,-0.058,17261,6,0.123,30597,10,1.525,33753,10,3.278,5185,2,-0.067,17126,6,1.921,456,1,2390,221,20,2111
33682,E01035689,Tower Hamlets 021J,E09000030,Tower Hamlets,18.644,15817,5,0.263,11533,4,0.072,25194,8,8.964,23768,8,0.073,15344,5,0.348,11621,4,28.705,7547,3,31.958,8332,3,0.547,6344,2,0.939,57,1,-0.341,21615,7,0.175,23877,8,1.459,33754,10,4.844,2377,1,-0.492,26125,8,2.213,159,1,1827,280,52,1484
33683,E01035690,Tower Hamlets 023E,E09000030,Tower Hamlets,16.612,17643,6,0.237,13109,4,0.073,24709,8,13.312,19568,6,-0.03,16879,6,0.153,14517,5,26.087,9801,3,24.595,12327,4,0.557,6013,2,0.878,95,1,-0.043,17058,6,0.197,20559,7,6.891,33253,10,4.365,3150,1,-0.499,26262,8,1.518,1283,1,2106,284,48,1754
33684,E01035691,Tower Hamlets 023F,E09000030,Tower Hamlets,14.365,20009,6,0.182,17017,6,0.054,29660,9,9.59,23113,7,-0.444,22980,7,0.502,9515,3,27.315,8658,3,27.615,10585,4,0.527,7057,3,0.264,9694,3,0.034,15933,5,0.123,30580,10,8.887,32853,10,4.559,2825,1,-0.536,26980,8,1.832,605,1,1982,255,67,1670
33685,E01035692,Tower Hamlets 024E,E09000030,Tower Hamlets,27.507,9604,3,0.421,4641,2,0.139,12711,4,11.389,21396,7,0.645,8031,3,0.462,10074,3,30.891,6065,2,11.785,22015,7,0.869,395,1,0.465,3152,1,-0.074,17532,6,0.176,23727,8,9.442,32756,10,5.14,1959,1,-0.662,28994,9,0.461,8352,3,1418,266,93,1060
33686,E01035693,Tower Hamlets 024F,E09000030,Tower Hamlets,24.326,11538,4,0.334,7903,3,0.118,15591,5,10.364,22341,7,0.715,7288,3,0.514,9326,3,27.076,8872,3,21.074,14541,5,0.63,3904,2,0.644,770,1,-0.355,21870,7,0.195,20844,7,8.233,32981,10,4.528,2881,1,-0.609,28235,9,1.295,1991,1,1617,292,82,1265
33687,E01035694,Tower Hamlets 024G,E09000030,Tower Hamlets,46.115,3134,1,0.573,1239,1,0.246,3935,2,22.486,12754,4,0.95,5038,2,0.794,5946,2,35.705,3595,2,33.37,7662,3,0.779,1079,1,0.988,5,1,-0.005,16508,5,0.294,9323,3,7.053,33226,10,5.907,1116,1,-0.184,19655,6,1.897,497,1,2300,541,130,1639
33688,E01035695,Tower Hamlets 024H,E09000030,Tower Hamlets,43.263,3752,2,0.583,1109,1,0.188,7648,3,27.926,9904,3,0.688,7575,3,0.574,8576,3,40.198,2062,1,33.764,7465,3,0.874,379,1,0.761,269,1,-0.347,21725,7,0.364,4211,2,7.774,33078,10,6.573,617,1,-0.164,19214,6,1.903,492,1,1686,393,136,1187
33689,E01035696,Tower Hamlets 026E,E09000030,Tower Hamlets,13.933,20477,7,0.218,14363,5,0.056,29220,9,5.29,27915,9,-0.008,16549,5,-0.09,18126,6,20.264,16661,5,35.285,6795,3,0.708,2180,1,0.393,4914,2,-0.344,21673,7,0.084,32943,10,4.203,33575,10,3.136,5461,2,-0.183,19626,6,2.106,272,1,1403,155,29,1226
33690,E01035697,Tower Hamlets 026F,E09000030,Tower Hamlets,21.959,13182,4,0.29,10055,3,0.116,15938,5,7.86,24959,8,0.432,10516,4,-0.463,23426,7,29.474,6952,3,36.923,6110,2,0.691,2514,1,0.47,3042,1,-0.462,23435,7,0.172,24286,8,4.151,33580,10,4.963,2208,1,-0.117,18198,6,2.149,227,1,1802,230,150,1478
33691,E01035698,Tower Hamlets 032F,E09000030,Tower Hamlets,13.794,20635,7,0.19,16387,5,0.079,23250,7,18.945,15108,5,0.129,14511,5,-0.405,22568,7,22.867,13340,4,6.516,27694,9,0.323,15556,5,0.812,158,1,0.759,6701,2,0.118,31085,10,9.289,32782,10,3.677,4378,2,-0.376,23765,8,-0.805,29346,9,1064,222,14,829
33692,E01035699,Tower Hamlets 032G,E09000030,Tower Hamlets,19.399,15191,5,0.386,5813,2,0.101,18572,6,15.019,18126,6,0.003,16369,5,-0.315,21325,7,24.775,11128,4,3.694,30942,10,0.914,237,1,0.972,30,1,0.247,12887,4,0.179,23328,7,9.732,32686,10,4.05,3653,2,-0.832,30989,10,-0.445,23936,8,1839,278,27,1509
33693,E01035700,Tower Hamlets 034A,E09000030,Tower Hamlets,5.849,29917,9,0.019,33661,10,0.011,33731,10,7.626,25219,8,-0.18,19084,6,-0.906,28829,9,19.684,17455,6,18.141,16670,5,0.036,33358,10,0.08,24801,8,-0.059,17279,6,0.058,33561,10,12.458,31979,10,2.854,6072,2,-0.712,29692,9,1.092,2873,1,1295,88,16,1196
33694,E01035701,Tower Hamlets 034B,E09000030,Tower Hamlets,7.033,28613,9,0.036,33072,10,0.013,33718,10,4.923,28337,9,0.075,15310,5,-0.392,22392,7,19.722,17400,6,20.665,14834,5,0.185,24153,8,0.398,4781,2,-0.357,21901,7,0.048,33672,10,12.783,31893,10,2.856,6068,2,-0.718,29757,9,1.337,1846,1,1333,66,6,1262
33695,E01035702,Tower Hamlets 034C,E09000030,Tower Hamlets,30.439,8064,3,0.532,1867,1,0.119,15403,5,13.482,19439,6,0.048,15714,5,0.651,7603,3,21.89,14574,5,37.708,5798,2,0.994,56,1,0.965,43,1,0.152,14235,5,0.173,24231,8,15.157,31145,10,3.328,5077,2,-0.153,18974,6,2.298,101,1,1847,346,31,1441
33696,E01035703,Tower Hamlets 036B,E09000030,Tower Hamlets,7.068,28566,9,0.032,33252,10,0.018,33661,10,3.24,30313,9,0.114,14717,5,-0.215,19913,6,25.11,10762,4,8.795,25098,8,0.074,31896,10,0.27,9400,3,-0.628,25655,8,0.069,33368,10,9.321,32774,10,4.127,3525,2,-0.364,23522,7,-0.313,21475,7,1366,51,10,1299
33697,E01035704,Tower Hamlets 036C,E09000030,Tower Hamlets,21.346,13639,5,0.378,6120,2,0.099,19022,6,14.13,18847,6,0.221,13225,4,-0.314,21321,7,27.015,8930,3,18.584,16332,5,0.862,440,1,0.964,44,1,0.001,16431,5,0.202,19844,6,8.93,32846,10,4.504,2912,1,-0.918,31743,10,1.234,2224,1,1782,294,23,1426
33698,E01035705,Tower Hamlets 036D,E09000030,Tower Hamlets,35.695,5908,2,0.483,2926,1,0.191,7383,3,18.807,15211,5,0.454,10247,4,0.257,12960,4,42.368,1521,1,22.511,13552,5,0.777,1098,1,0.567,1509,1,-0.225,19826,6,0.277,10803,4,10.584,32478,10,6.87,451,1,-0.4,24264,8,1.204,2355,1,1428,280,180,993
33699,E01035706,Tower Hamlets 036E,E09000030,Tower Hamlets,13.535,20877,7,0.193,16176,5,0.06,28022,9,7.502,25353,8,-0.459,23177,7,0.272,12723,4,25.18,10676,4,27.251,10799,4,0.386,12582,4,0.429,3973,2,-0.196,19394,6,0.127,30266,9,8.921,32848,10,4.147,3492,2,-0.226,20550,7,1.406,1616,1,1338,214,52,1073
